ID do Game,Título,Gênero,Plataforma,Ano de Lançamento,Preço,Avaliação,Estúdio,Descrição,Estoque
1,Pre-emptive tangible frame,Aventura,PC,2005,63.35,3.61,Taylor and Sons,Clear even yeah nor blue few his practice.,59
2,Open-source directional parallelism,Luta,Xbox Series X,2008,22.11,3.51,King Inc,Range soon image blue heart improve face represent federal.,158
3,Assimilated global conglomeration,Simulação,Mobile,2009,198.72,2.21,"Obrien, Wong and Ryan",Standard yet those series cost maintain establish animal defense.,37
4,Cross-platform bottom-line frame,Aventura,Xbox Series X,2017,186.6,8.41,"Pruitt, Ryan and Mccormick",Nature ball of difference southern across law positive series possible operation stuff.,364
5,Multi-tiered 24/7 challenge,Aventura,Switch,2006,193.03,8.99,Osborne Ltd,Talk respond find discussion simply all data stand professional.,293
6,Automated object-oriented frame,Esporte,Mobile,2016,116.62,8.96,"Tucker, Gordon and Boyd",Require consider sing one fill break couple require population bad again eat and.,163
7,User-centric systemic website,Estratégia,Mobile,2017,36.79,9.05,Schmidt-Hurst,Real buy thank issue free interview statement scientist tough produce perform one lose.,413
8,Synergistic multi-tasking migration,RPG,Xbox Series X,2009,19.33,3.94,Mendoza-Brown,Child own miss reveal to range provide outside understand political themselves.,355
9,Operative homogeneous complexity,Aventura,PC,2001,83.57,8.28,"Rice, Wilson and Yates",Consider life never management image response.,393
10,Multi-layered bifurcated matrix,Simulação,Switch,2001,127.12,3.32,Scott Inc,Agree manager gas nation now understand important.,312
11,Balanced tangible artificial intelligence,Simulação,PS5,2001,176.44,2.06,Duncan-Reid,Sort nearly decade investment parent month.,263
12,Ergonomic encompassing time-frame,Estratégia,Switch,2003,79.62,1.35,"Wilson, Chang and Griffin",General remember particular candidate star easy process win agent pretty decision occur.,145
13,Realigned holistic productivity,Aventura,Switch,2018,198.59,5.98,"Gill, Nielsen and Jones",When safe box project its big unit eye size between.,76
14,Devolved bi-directional website,Simulação,PS5,2000,174.32,7.8,Jordan-Carter,Trade allow each over house magazine official system newspaper body.,146
15,Balanced context-sensitive archive,Aventura,Mobile,2013,42.88,8.44,Henry PLC,Away beyond finally billion expect sense force man because sort.,429
16,Exclusive methodical website,RPG,Xbox Series X,2005,57.31,9.04,Stafford Ltd,Chair wall positive writer treat traditional support fine difficult while.,57
17,Inverse regional array,Corrida,Switch,2017,162.25,9.64,Williams-Brady,However meet point conference tree imagine politics over draw worry know fund around.,44
18,Visionary coherent archive,Corrida,PC,2015,66.59,6.06,Nolan-Guzman,Catch Mr lay eight learn plan cut.,27
